Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths
"Marion County, IN",159.3448,-344.7008,4.0,0.0,0.0
"Marion County, OR",89.6892,-245.1854,2.0,0.0,0.0
Maryland,120483.05123289827,-236764.85182905654,5060453.0,6.0,236572.0
Massachusetts,74148.4362964909,-125766.24185743004,9326928.0,8.0,633470.0
Michigan,457202.3386149984,-885102.6866138924,6168656.0,5.0,533385.0
"Middlesex County, MA",169.31359999999998,-284.579,16.0,0.0,0.0
Minnesota,464927.02304021013,-965694.4143804042,2434711.0,0.0,100693.0
Mississippi,333867.0917140994,-912480.2666097467,1919439.0,0.0,75789.0
Missouri,502941.89354314323,-1209974.7308099258,1662462.0,0.0,75300.0
Montana,206632.827378724,-487725.7878131969,89541.0,0.0,2079.0
"Montgomery County, MD",156.6188,-308.962,14.0,0.0,0.0
"Montgomery County, PA",80.458,-150.7758,9.0,0.0,0.0
"Montgomery County, TX",90.9639,-286.4334,0.0,0.0,0.0
"Nassau County, NY",162.6184,-294.2376,27.0,0.0,0.0
Nebraska,383698.27721349057,-917879.5683514748,1347492.0,0.0,17908.0
Nevada,79127.96373224034,-236666.9447095001,1337399.0,0.0,42349.0
New Hampshire,59156.82573632962,-97416.40035533931,445732.0,0.0,24556.0
New Jersey,109958.78069939073,-203647.51985402906,15790214.0,2.0,1159034.0
New Mexico,135806.1707154215,-416895.7709514052,874314.0,0.0,34849.0
New York,313562.36442475894,-555381.8992364312,38185214.0,0.0,2932114.0
"New York City, NY",162.8512,-296.024,7.0,0.0,0.0
"New York County, NY",162.8512,-296.024,58.0,0.0,0.0
"Norfolk County, MA",84.3534,-142.2898,12.0,0.0,0.0
North Carolina,436469.41856241284,-973840.9817214881,4124403.0,0.0,96272.0
North Dakota,254040.805254765,-536931.6121069924,267655.0,0.0,5823.0
Northern Mariana Islands,1872.1395999999982,18063.563599999998,2583.0,0.0,296.0
"Norwell County, MA",42.1615,-70.7928,1.0,0.0,0.0
Ohio,439700.55294652696,-903461.0641131066,3940188.0,0.0,209735.0
"Okaloosa County, FL",61.1546,-173.3222,2.0,0.0,0.0
Oklahoma,324606.7836054517,-888274.4950126657,983564.0,0.0,33309.0
"Omaha, NE (From Diamond Princess)",701.3265,-1631.5885999999998,22.0,0.0,0.0
"Orange County, CA",202.72740000000002,-707.1186,19.0,0.0,0.0
"Orange, CA",1081.2128000000005,-3771.2991999999977,32.0,0.0,0.0
Oregon,189718.44235175822,-518281.2575018069,627680.0,0.0,16955.0
Pennsylvania,342778.79217067413,-651770.2364014618,7650728.0,0.0,508750.0
"Pierce County, WA",141.2028,-366.38849999999996,9.0,0.0,0.0
"Pinal County, AZ",98.4486,-333.8535,6.0,0.0,0.0
"Placer County, CA",312.7328,-966.4312,28.0,0.0,6.0
"Plymouth County, MA",126.4845,-212.3784,3.0,0.0,0.0
"Polk County, GA",68.0264,-170.2958,2.0,0.0,0.0
"Portland, OR",136.5153,-368.025,4.0,0.0,0.0
"Providence County, RI",125.6646,-214.43220000000002,9.0,0.0,0.0
"Providence, RI",250.94400000000002,-428.4768,11.0,0.0,0.0
Puerto Rico,11050.820195,-40266.80354099998,515563.0,0.0,13414.0
"Queens County, NY",40.7282,-73.7949,1.0,0.0,0.0
"Ramsey County, MN",179.9856,-372.2464,4.0,0.0,0.0
Recovered,0.0,0.0,0.0,51187515.0,0.0
Rhode Island,31035.189059529792,-53254.02174424009,1384728.0,0.0,66890.0
"Riverside County, CA",67.9066,-234.7922,2.0,0.0,0.0
"Rockingham County, NH",85.9862,-142.0996,3.0,0.0,0.0
"Rockland County, NY",123.44669999999999,-221.949,8.0,0.0,0.0
"Sacramento County, CA",692.5445999999998,-2184.3756000000003,30.0,0.0,0.0
"San Antonio, TX",765.0265999999997,-2560.833599999999,26.0,0.0,0.0
"San Benito, CA",1316.7395999999999,-4355.553599999999,72.0,0.0,0.0
"San Diego County, CA",916.0395999999994,-3280.510799999998,59.0,18.0,0.0
"San Francisco County, CA",188.8745,-612.097,31.0,0.0,0.0
"San Mateo, CA",300.50399999999996,-978.6040000000002,15.0,0.0,0.0
"Santa Clara County, CA",112.06230000000001,-365.86560000000003,108.0,3.0,0.0
