Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths
Michigan,36391.688389830124,-70422.83119009995,39136.0,0.0,941.0
"Middlesex County, MA",169.31359999999998,-284.579,16.0,0.0,0.0
Minnesota,38606.31896299004,-80056.60466577005,4457.0,0.0,47.0
Mississippi,27092.973970199993,-74049.27060823023,5779.0,0.0,86.0
Missouri,43137.295933519956,-103773.49421001998,6437.0,0.0,97.0
Montana,25175.74029364999,-58847.08742009994,1124.0,0.0,13.0
"Montgomery County, MD",156.6188,-308.962,14.0,0.0,0.0
"Montgomery County, PA",80.458,-150.7758,9.0,0.0,0.0
"Montgomery County, TX",90.9639,-286.4334,0.0,0.0,0.0
"Nassau County, NY",162.6184,-294.2376,27.0,0.0,0.0
Nebraska,35944.88790614001,-86133.13920499993,1145.0,0.0,9.0
Nevada,6984.513175460003,-20911.45615990001,6277.0,0.0,109.0
New Hampshire,4867.997588060001,-8016.790034109997,2004.0,0.0,15.0
New Jersey,8943.739395299996,-16564.96645109999,92312.0,2.0,1159.0
New Mexico,11597.54261546,-35590.76771410006,1824.0,0.0,12.0
New York,26635.161409389973,-47243.66501579997,463465.0,0.0,6323.0
"New York City, NY",162.8512,-296.024,7.0,0.0,0.0
"New York County, NY",162.8512,-296.024,58.0,0.0,0.0
"Norfolk County, MA",84.3534,-142.2898,12.0,0.0,0.0
North Carolina,35373.80180057002,-78942.9167788099,9250.0,0.0,40.0
North Dakota,24221.47628228001,-51229.5625812599,760.0,0.0,8.0
Northern Mariana Islands,150.97899999999998,1456.739,2.0,0.0,0.0
"Norwell County, MA",42.1615,-70.7928,1.0,0.0,0.0
Ohio,35277.86913362995,-72481.46999309983,12097.0,0.0,216.0
"Okaloosa County, FL",61.1546,-173.3222,2.0,0.0,0.0
Oklahoma,26700.43561113,-73105.98628007986,3056.0,0.0,100.0
"Omaha, NE (From Diamond Princess)",371.2905,-863.7822000000002,0.0,0.0,0.0
"Orange County, CA",202.72740000000002,-707.1186,19.0,0.0,0.0
"Orange, CA",101.3637,-353.5593,3.0,0.0,0.0
Oregon,16111.64526420003,-43988.84809439994,4528.0,0.0,127.0
Pennsylvania,27547.006149130015,-52383.63161856003,24398.0,0.0,265.0
"Pierce County, WA",141.2028,-366.38849999999996,9.0,0.0,0.0
"Pinal County, AZ",98.4486,-333.8535,6.0,0.0,0.0
"Placer County, CA",312.7328,-966.4312,28.0,0.0,6.0
"Plymouth County, MA",126.4845,-212.3784,3.0,0.0,0.0
"Polk County, GA",68.0264,-170.2958,2.0,0.0,0.0
"Portland, OR",91.0102,-245.35,3.0,0.0,0.0
"Providence County, RI",125.6646,-214.43220000000002,9.0,0.0,0.0
"Providence, RI",250.94400000000002,-428.4768,11.0,0.0,0.0
Puerto Rico,327.9744,-1198.6218,990.0,0.0,33.0
"Queens County, NY",40.7282,-73.7949,1.0,0.0,0.0
"Ramsey County, MN",179.9856,-372.2464,4.0,0.0,0.0
Recovered,0.0,0.0,0.0,18664.0,0.0
Rhode Island,2582.9278983000004,-4431.3468349,2550.0,0.0,17.0
"Riverside County, CA",67.9066,-234.7922,2.0,0.0,0.0
"Rockingham County, NH",85.9862,-142.0996,3.0,0.0,0.0
"Rockland County, NY",123.44669999999999,-221.949,8.0,0.0,0.0
"Sacramento County, CA",346.2722999999999,-1092.1878000000002,18.0,0.0,0.0
"San Antonio, TX",264.81690000000003,-886.4424,9.0,0.0,0.0
"San Benito, CA",329.18489999999997,-1088.8884,18.0,0.0,0.0
"San Diego County, CA",294.44129999999996,-1054.4499,23.0,9.0,0.0
"San Francisco County, CA",188.8745,-612.097,31.0,0.0,0.0
"San Mateo, CA",300.50399999999996,-978.6040000000002,15.0,0.0,0.0
"Santa Clara County, CA",112.06230000000001,-365.86560000000003,108.0,3.0,0.0
